Date,Value,Anomaly
195903,2.14,-0.37
195904,2.14,-0.38
195905,3.2,0.29
195906,2.62,-0.31
195907,2.94,0.16
195908,2.76,0.14
195909,2.82,0.33
195910,3.5,1.34
195911,1.72,-0.51
195912,2.22,-0.13
196001,2.26,-0.05
196002,2.59,0.46
196003,2.12,-0.39
196004,2.15,-0.37
196005,2.87,-0.04
196006,2.69,-0.24
196007,2.68,-0.1
196008,2.83,0.21
196009,2.21,-0.28
196010,2.4,0.24
196011,2.05,-0.18
196012,1.9,-0.45
196101,1.48,-0.83
196102,2.78,0.65
196103,3.16,0.65
196104,2.3,-0.22
196105,2.88,-0.03
196106,2.92,-0.01
196107,3.11,0.33
196108,2.62,0
196109,2.94,0.45
196110,1.78,-0.38
196111,2.59,0.36
196112,2.69,0.34
196201,2.21,-0.1
196202,2.55,0.42
196203,2.15,-0.36
196204,2.1,-0.42
196205,2.69,-0.22
196206,3.21,0.28
196207,2.91,0.13
196208,2.04,-0.58
196209,2.78,0.29
196210,2.33,0.17
196211,2.05,-0.18
196212,1.58,-0.77
196301,1.57,-0.74
196302,1.73,-0.4
196303,2.47,-0.04
196304,2.3,-0.22
196305,2.36,-0.55
196306,2.94,0.01
196307,2.69,-0.09
196308,2.33,-0.29
196309,2.21,-0.28
196310,0.96,-1.2
196311,2.66,0.43
196312,1.48,-0.87
196401,2.43,0.12
196402,1.56,-0.57
196403,2.83,0.32
196404,3.29,0.77
196405,2.25,-0.66
196406,2.81,-0.12
196407,2.61,-0.17
196408,2.87,0.25
196409,2.54,0.05
196410,1.36,-0.8
196411,2.38,0.15
196412,3.33,0.98
196501,2.34,0.03
196502,2.16,0.03
196503,2.16,-0.35
196504,2.52,0
196505,2.71,-0.2
196506,3.24,0.31
196507,2.73,-0.05
196508,2.8,0.18
196509,3.53,1.04
196510,1.45,-0.71
196511,2,-0.23
196512,2.16,-0.19
196601,2.36,0.05
196602,2.34,0.21
196603,1.61,-0.9
196604,2.49,-0.03
196605,2.24,-0.67
196606,2.24,-0.69
196607,2.41,-0.37
196608,3.11,0.49
196609,2.44,-0.05
196610,1.67,-0.49
196611,2.01,-0.22
196612,2.54,0.19
196701,2.15,-0.16
196702,1.42,-0.71
196703,1.92,-0.59
196704,2.67,0.15
196705,2.96,0.05
196706,3.58,0.65
196707,2.89,0.11
196708,2.51,-0.11
196709,2.49,0
196710,2.34,0.18
196711,1.61,-0.62
196712,3.06,0.71
196801,2.17,-0.14
196802,1.48,-0.65
196803,2.16,-0.35
196804,2.46,-0.06
196805,3.33,0.42
196806,3.12,0.19
196807,2.77,-0.01
196808,2.88,0.26
196809,2.31,-0.18
196810,2.07,-0.09
196811,2.82,0.59
196812,2.82,0.47
196901,3.01,0.7
196902,2.23,0.1
196903,1.89,-0.62
196904,2.6,0.08
196905,2.66,-0.25
196906,3.31,0.38
196907,3.09,0.31
196908,2.31,-0.31
196909,2.3,-0.19
196910,2.7,0.54
196911,1.59,-0.64
196912,2.94,0.59
197001,2.09,-0.22
197002,1.63,-0.5
197003,2.68,0.17
197004,2.78,0.26
197005,2.61,-0.3
197006,2.77,-0.16
197007,2.41,-0.37
197008,2.37,-0.25
197009,3.06,0.57
197010,2.88,0.72
197011,2.2,-0.03
197012,2.22,-0.13
197101,2.03,-0.28
197102,2.37,0.24
197103,2.08,-0.43
197104,1.86,-0.66
197105,2.92,0.01
197106,2.53,-0.4
197107,3,0.22
197108,2.75,0.13
197109,2.83,0.34
197110,2.73,0.57
197111,2.03,-0.2
197112,3.2,0.85
197201,2.33,0.02
197202,1.8,-0.33
197203,2.13,-0.38
197204,2.26,-0.26
197205,2.95,0.04
197206,3.1,0.17
197207,2.93,0.15
197208,2.64,0.02
197209,2.74,0.25
197210,2.75,0.59
197211,3.05,0.82
197212,3.02,0.67
197301,2.48,0.17
197302,1.96,-0.17
197303,4,1.49
197304,3.33,0.81
197305,3.03,0.12
197306,3.05,0.12
197307,2.96,0.18
197308,2.06,-0.56
197309,3.46,0.97
197310,2.37,0.21
197311,3.17,0.94
197312,3.09,0.74
197401,3.15,0.84
197402,1.68,-0.45
197403,2.63,0.12
197404,2.55,0.03
197405,3.07,0.16
197406,2.64,-0.29
197407,2.14,-0.64
197408,3.43,0.81
197409,2.72,0.23
197410,2.01,-0.15
197411,2.18,-0.05
197412,2.42,0.07
197501,2.61,0.3
197502,2.61,0.48
197503,3.4,0.89
197504,2.67,0.15
197505,3.28,0.37
197506,3.31,0.38
197507,2.97,0.19
197508,2.83,0.21
197509,2.66,0.17
197510,2.3,0.14
197511,2.28,0.05
197512,2.11,-0.24
197601,1.76,-0.55
197602,1.89,-0.24
197603,2.57,0.06
197604,2.29,-0.23
197605,2.93,0.02
197606,2.77,-0.16
197607,2.74,-0.04
197608,2,-0.62
197609,2.45,-0.04
197610,2.44,0.28
197611,1.11,-1.12
197612,1.36,-0.99
197701,1.58,-0.73
197702,1.23,-0.9
197703,3.1,0.59
197704,2.27,-0.25
197705,2.67,-0.24
197706,2.49,-0.44
197707,2.56,-0.22
197708,3.55,0.93
197709,3.22,0.73
197710,2.19,0.03
197711,2.86,0.63
197712,2.72,0.37
197801,3.18,0.87
197802,1.77,-0.36
197803,2.26,-0.25
197804,2.54,0.02
197805,3.64,0.73
197806,2.55,-0.38
197807,2.75,-0.03
197808,2.77,0.15
197809,2.44,-0.05
197810,1.11,-1.05
197811,2.6,0.37
197812,2.53,0.18
197901,3.31,1
197902,2.6,0.47
197903,2.8,0.29
197904,3.07,0.55
197905,3.23,0.32
197906,2.54,-0.39
197907,3.3,0.52
197908,2.99,0.37
197909,2.51,0.02
197910,2.2,0.04
197911,2.34,0.11
197912,1.86,-0.49
198001,2.65,0.34
198002,1.92,-0.21
198003,3.39,0.88
198004,2.38,-0.14
198005,3.09,0.18
198006,2.31,-0.62
198007,1.97,-0.81
198008,2.57,-0.05
198009,2.79,0.3
198010,1.87,-0.29
198011,1.76,-0.47
198012,1.57,-0.78
198101,0.98,-1.33
198102,2.17,0.04
198103,2.21,-0.3
198104,2.19,-0.33
198105,3.55,0.64
198106,3.41,0.48
198107,3.09,0.31
198108,2.76,0.14
198109,2.08,-0.41
198110,3.1,0.94
198111,2.01,-0.22
198112,2.41,0.06
198201,2.84,0.53
198202,2.23,0.1
198203,2.51,0
198204,2.52,0
198205,3.42,0.51
198206,3.31,0.38
198207,2.95,0.17
198208,2.55,-0.07
198209,2.45,-0.04
198210,2.33,0.17
198211,2.99,0.76
198212,3.76,1.41
198301,2.08,-0.23
198302,2.68,0.55
198303,3.7,1.19
198304,3.2,0.68
198305,3.47,0.56
198306,2.95,0.02
198307,2.08,-0.7
198308,2.37,-0.25
198309,2.26,-0.23
198310,2.61,0.45
198311,3.92,1.69
198312,3.44,1.09
198401,1.35,-0.96
198402,2.11,-0.02
198403,2.75,0.24
198404,2.95,0.43
198405,3.15,0.24
198406,2.93,0
198407,2.83,0.05
198408,2.43,-0.19
198409,1.91,-0.58
198410,3.65,1.49
